userId,productId,behaviorType,behaviorDate
1,27,view,2024-06-21 22:52:59.0
1,27,view,2024-06-21 23:04:53.0
1,27,view,2024-06-21 23:04:55.0
1,3,view,2024-06-21 23:05:06.0
1,3,view,2024-06-21 23:05:15.0
1,39,view,2024-06-21 23:05:44.0
1,39,view,2024-06-21 23:05:45.0
1,3,purchase,2024-06-21 23:06:03.0
1,39,purchase,2024-06-21 23:06:03.0
5,36,view,2024-06-22 10:23:30.0
5,37,view,2024-06-22 10:23:32.0
5,38,view,2024-06-22 10:23:35.0
5,14,view,2024-06-22 10:31:13.0
5,13,view,2024-06-22 10:31:15.0
5,15,view,2024-06-22 10:31:17.0
1,29,view,2024-06-22 10:57:55.0
1,31,view,2024-06-22 10:57:56.0
1,30,view,2024-06-22 10:57:58.0
1,33,view,2024-06-22 10:58:00.0
1,32,view,2024-06-22 10:58:02.0
1,10,view,2024-06-22 10:58:05.0
1,11,view,2024-06-22 10:58:10.0
1,29,view,2024-06-22 10:58:51.0
1,30,view,2024-06-22 10:58:52.0
1,31,view,2024-06-22 10:58:53.0
1,33,view,2024-06-22 10:58:55.0
1,32,view,2024-06-22 10:58:56.0
1,10,view,2024-06-22 10:59:00.0
1,11,view,2024-06-22 10:59:02.0
5,29,view,2024-06-22 11:01:03.0
5,30,view,2024-06-22 11:01:05.0
5,31,view,2024-06-22 11:01:06.0
5,33,view,2024-06-22 11:01:08.0
5,32,view,2024-06-22 11:01:10.0
5,31,view,2024-06-22 11:01:13.0
5,31,view,2024-06-22 11:01:14.0
5,31,purchase,2024-06-22 11:01:17.0
5,39,view,2024-06-22 11:33:26.0
5,20,view,2024-06-22 11:33:29.0
5,3,view,2024-06-22 11:33:31.0
5,3,view,2024-06-22 11:33:32.0
5,21,view,2024-06-22 11:33:37.0
5,21,view,2024-06-22 11:33:38.0
5,3,purchase,2024-06-22 11:33:44.0
5,21,purchase,2024-06-22 11:33:44.0
5,29,view,2024-06-22 11:48:35.0
5,39,view,2024-06-22 11:48:39.0
5,39,view,2024-06-22 11:48:40.0
5,23,view,2024-06-22 11:48:44.0
5,24,view,2024-06-22 11:48:46.0
5,14,view,2024-06-22 11:48:48.0
5,18,view,2024-06-22 11:48:51.0
5,16,view,2024-06-22 11:48:53.0
5,26,view,2024-06-22 11:48:57.0
5,37,view,2024-06-22 11:49:00.0
5,19,view,2024-06-22 11:49:05.0
5,42,view,2024-06-22 11:49:08.0
5,42,view,2024-06-22 11:49:09.0
5,20,view,2024-06-22 11:49:13.0
5,20,view,2024-06-22 11:49:15.0
5,39,purchase,2024-06-22 11:49:18.0
5,42,purchase,2024-06-22 11:49:18.0
5,20,purchase,2024-06-22 11:49:18.0
1,19,view,2024-06-22 12:31:50.0
1,19,view,2024-06-22 12:31:51.0
1,19,view,2024-06-22 12:31:52.0
1,21,view,2024-06-22 12:31:55.0
1,21,view,2024-06-22 12:31:55.0
1,21,view,2024-06-22 12:31:56.0
1,1,view,2024-06-22 12:31:57.0
1,1,view,2024-06-22 12:31:58.0
1,3,view,2024-06-22 12:32:02.0
1,3,view,2024-06-22 12:32:03.0
1,19,purchase,2024-06-22 12:32:12.0
1,21,purchase,2024-06-22 12:32:12.0
1,1,purchase,2024-06-22 12:32:12.0
1,3,purchase,2024-06-22 12:32:12.0
1,20,view,2024-06-22 14:29:27.0
5,26,view,2024-06-22 14:40:20.0
5,26,view,2024-06-22 14:40:21.0
5,28,view,2024-06-22 14:40:37.0
